objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Maskmen","159581","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142291613","6.22871","6.94596","1.7778","2138","5225","thing","Maskmen","2","6","20","20","20","2014","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Masmorra: Dungeons of Arcadia","181524","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 5 players
60-90 Min 
B-A-2","","","","135498809","6.27542","7.03312","2.2766","1970","7134","thing","Masmorra: Dungeons of Arcadia","1","5","90","90","60","2017","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Incognito","406863","0","0","0","1","0","0","0","0","0","0","0","3","","1-6 Players
2-4 Hours
C-C-3","","","","146488321","5.52782","6.66724","1.5","17317","346","thing","Masters of Crime: Incognito","1","6","210","210","150","2022","1,2,3","1,2","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Shadows","371539","0","0","0","1","0","0","0","0","0","0","0","3","","1-6 Players
2-4 Hours
C-C-3","","","","139485025","5.61928","7.75435","1.75","8585","700","thing","Masters of Crime: Shadows","1","6","210","210","150","2022","1,2,3,4","3","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Vendetta","336791","0","0","0","1","0","0","0","0","0","0","0","3","","1-6 Players
2-4 Hours
C-C-3","","","","147925705","5.62911","7.47957","2","8197","698","thing","Masters of Crime: Vendetta","1","6","240","240","120","2021","1,2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Maui","361279","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 6 players
30 minutes 
C-A-5","","","","135496339","5.64552","6.36476","1.5789","7678","1152","thing","Maui","2","4","30","30","30","2022","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Meadow","314491","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
60-90 min 
S-3-3","","","","135499828","7.33578","7.69968","2.2523","219","26150","thing","Meadow","1","4","90","90","60","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mech Bunny","432792","0","0","0","1","0","0","0","0","0","0","0","3","","1 player
45 minutes
C-C-4","","","","147962498","5.58478","7.57075","2","10356","595","thing","Mech Bunny","1","1","45","45","30","2026","1","1","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Menagerie: Unlock the Wonders of a Miniature World","450013","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138156611","5.53928","7.30746","1.5","14925","271","thing","Menagerie: Unlock the Wonders of a Miniature World","1","4","60","60","30","2025","1,2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Merchants of the Dark Road","300217","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
60 - 20 min
S-1-3
Dice rolling","","","","138697061","6.61591","7.3384","3.2788","1077","8545","thing","Merchants of the Dark Road","1","4","120","120","60","2022","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mesozooic","255639","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137223781","5.64235","6.35022","1.5556","7774","1205","thing","Mesozooic","2","6","20","20","20","2018","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Miaui","226454","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 6 players 
20 min","","","","139485998","5.60329","6.32676","1.2","9316","914","thing","Miaui","3","6","20","20","20","2017","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Middle Ages","403754","8.5","2","0","1","0","0","0","0","0","0","0","3","","2 - 5 player","","","","136534966","6.47211","7.19353","2.0088","1394","4897","thing","Middle Ages","2","5","30","30","30","2024","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mille Fiori","346501","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 Players
60-90 min 
S-1-1","","","","137223718","6.85222","7.41789","2.1753","686","9990","thing","Mille Fiori","2","4","90","90","60","2021","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Millennial Loteria","407457","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 20 players
10-20 minutes
C-B-5","","","","135496688","0","6","0","0","107","thing","Millennial Loteria","2","10","20","20","10","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Mind","244992","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players","","","","135497442","6.59024","6.71224","1.0735","1123","70631","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mind MGMT: The Psychic Espionage “Game.”","284653","0","0","0","1","0","0","0","0","0","0","0","4","","1-5 players
60 minutes
S-5-4","","","","139293787","7.17874","7.77672","2.8981","325","16761","thing","Mind MGMT: The Psychic Espionage “Game.”","1","5","60","60","60","2021","1,2,3,4,5","2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mind Space","377420","7.7","2","0","1","0","0","0","0","0","0","0","3","","1 - 5 players
30 Min
C-B-3","","","","136061038","6.07663","7.19649","1.8636","2793","3393","thing","Mind Space","1","5","30","30","30","2023","1,2,3,4,5","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mindbug: First Contact","345584","0","0","0","1","0","0","0","0","0","0","0","3","","2 Players
20 minutes
C-A-4","","","","147552064","7.06814","7.55145","1.9345","428","18998","thing","Mindbug: First Contact","2","2","25","25","15","2022","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mini Rogue","311715","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 2 player
45 Minutes
C-B-4","","","","138197782","6.48615","7.26739","2.0198","1370","8337","thing","Mini Rogue","1","2","45","45","30","2020","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ministry of Lost Things: Case 1 – Lint Condition","425765","0","0","0","1","0","0","0","0","0","0","0","3","","1+ players
2-3 Hours 
C-C-3","","","","142834972","5.73309","7.90644","2.5","5752","1056","thing","Ministry of Lost Things: Case 1 – Lint Condition","1","4","180","180","120","2025","1,2","1","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Ministry of Lost Things: Case 2 – Finders Keypers","453357","0","0","0","1","0","0","0","0","0","0","0","1","","1+ player
2-4 hours
C-C-3","","","","147273806","5.53367","8.53","2.3333","15996","301","thing","Ministry of Lost Things: Case 2 – Finders Keypers","1","4","240","240","120","2026","1,2","1,2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mists over Carcassonne","358124","8.5","2","0","1","0","0","0","0","0","0","0","3","","1 - 5 player","","","","136095540","6.43825","7.27232","2.1552","1489","8142","thing","Mists over Carcassonne","1","5","35","35","35","2022","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"MLEM: Space Agency","387378","0","0","0","1","0","0","0","0","0","0","0","3","","2-5 Players
30-60 Min 
S-2-2","","","","143815781","6.66809","7.14791","1.7439","977","11139","thing","MLEM: Space Agency","2","5","60","60","30","2024","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Money!","125","7.5","6","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
15 Min
C-B-3

set collection","","","","139483748","6.16321","6.60321","1.5647","2380","6237","thing","Money!","2","5","30","30","15","2025","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Allplay","English","2025","English edition 2025"
"Monopoly Deal Card Game","40398","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players","","","","135497414","6.09674","6.32689","1.3112","2682","28716","thing","Monopoly Deal Card Game","2","5","15","15","15","2008","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly: Animal Crossing – New Horizons","348250","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players","","","","135499999","5.47511","5.33275","1.125","29710","1616","thing","Monopoly: Animal Crossing – New Horizons","2","4","60","0","60","2021","3,4","3","4–12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly: Fallout Collector's Edition","183508","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 players
60-180 min 
S-2-2","","","","140199072","5.49109","5.70992","1.6","28075","719","thing","Monopoly: Fallout Collector's Edition","2","6","180","180","60","2015","2,3,4,5,6","4,5,6","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly: Super Mario Celebration!","323911","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","135499988","5.49932","5.71262","1.25","26308","559","thing","Monopoly: Super Mario Celebration!","2","6","90","90","90","2020","2,3,4","2","5+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Moon","358386","0","0","0","1","0","0","0","0","0","0","0","3","","1-5 Players
45-90
C-B-2","","","","140199197","6.15809","7.29102","2.5135","2404","4404","thing","Moon","1","5","90","90","45","2023","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Moon Adventure","330403","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140259283","5.82255","6.69479","2.24","4584","3099","thing","Moon Adventure","2","5","40","40","40","2021","1,2,3,4,5","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Moon Bunny","377991","8.2","1","0","1","0","0","0","0","0","0","0","3","","1 - 4 player
30-60 Min 
S-1-2","","","","135548318","5.63302","7.29325","2.1","8071","775","thing","Moon Bunny","1","4","60","60","30","2025","1,2,3,4","3","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Moon Colony Bloodbath","425549","8","3","0","1","0","0","0","0","0","0","0","3","","1-5 players
45-90 min
S-3-5","","","","142201569","7.01788","7.64649","2.1493","488","10170","thing","Moon Colony Bloodbath","1","5","90","90","45","2025","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Moonrakers","270239","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 5 players
60 - 120 minutes
C-A-1","","","","139483918","6.77639","7.68184","2.4731","796","6689","thing","Moonrakers","1","5","120","120","60","2020","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Moonrakers: The Endless","367402","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139484481","5.61518","8.50971","2.5","0","1247","thing","Moonrakers: The Endless","1","5","0","0","0","2023","1,3,4,5","4,5","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Moonrollers","405923","9","5","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
30-45min
C-B-1

Push your luck","","","","139372050","6.06435","7.39453","1.8333","2865","2687","thing","Moonrollers","2","5","45","45","30","2024","2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"More Containers","468181","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion","","","","147925291","5.54072","7.63477","0","0","1737","thing","More Containers","3","5","0","0","0","2026","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mosaic: A Story of Civilization","329551","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 Players
120 Min 
B-A-2","","","","142315804","6.80773","7.4591","3.0541","751","8903","thing","Mosaic: A Story of Civilization","2","6","120","120","120","2022","3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mountain Goats","63975","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 Players
20 Min
C-B-3","","","","136061089","6.43273","6.84029","1.2035","1507","11239","thing","Mountain Goats","2","4","20","20","20","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Moving Wild","423270","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140259254","5.93607","6.94005","2.04","3619","2743","thing","Moving Wild","1","6","30","30","15","2024","1,2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Moytura","447252","0","0","0","1","0","0","0","0","0","0","0","3","","1-2 Players
45 Minutes
C-B-4","","","","147554857","5.82227","8.05686","2.1538","4587","1275","thing","Moytura","1","2","45","45","45","2026","1,2","2","8","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder on the Moon","430697","0","0","0","1","0","0","0","0","0","0","0","1","","1-4 Players
3-5 Hours
C-C-3","","","","139484982","0","7.77679","2","0","80","thing","Murder on the Moon","1","4","360","360","270","2024","2,3,4","3","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mutton Bustin","387166","7","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
15 - 25 minutes 
C-B-2

Dice game

Stupidly funny simple game works amazing as an ice breaker","","","","138695526","5.51235","6.452","1.5","22162","149","thing","Mutton Bustin","2","4","25","25","15","2024","2,3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"My City","295486","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 players
30 min 
S-3-2","","","","147069485","7.24178","7.56984","1.9779","270","25628","thing","My City","2","4","30","30","30","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mycelia","392023","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 Players
45 Min
S-2-2","","","","141971480","6.47899","7.3601","1.8778","1383","7477","thing","Mycelia","1","4","45","45","45","2023","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","0","1","0","1","0","0","0","0","0","0","0","3","","2-7 players
40 minutes
C-B-5","","","","139483785","7.04767","7.19003","1.8899","452","84994","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium Park","301767","7.5","1","0","1","0","0","0","0","0","0","0","3","","2 - 6 player
30-45 minutes
C-B-5","","","","136595948","6.51646","6.99574","1.4286","1305","15452","thing","Mysterium Park","2","6","45","45","30","2020","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Curling Club","447729","0","0","0","1","0","0","0","0","0","0","0","3","","2-5 Players
30 Minutes","","","","147962582","5.5227","6.78049","0","18741","149","thing","Mystic Curling Club","2","4","30","30","10","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mythicals","431304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140199442","5.61238","6.39651","1.3684","8873","694","thing","Mythicals","2","2","15","15","15","2025","2","2","8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mythwind","317582","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 players
30-60 minutes
S-5-1","","","","140312951","6.23233","7.4969","2.7742","2126","5736","thing","Mythwind","1","4","60","60","30","2023","1,2,3,4","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nacho Pile","366327","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","135497193","5.45866","5.33529","1","30321","996","thing","Nacho Pile","2","6","20","20","20","2022","2,3,4,5,6","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Nanatoridori","387388","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 Players
10-20 minutes
C-B-2","","","","147998380","5.87522","6.78568","1.1818","4102","1336","thing","Nanatoridori","2","6","20","20","10","2023","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nature","330152","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players","","","","135498355","5.91979","6.87761","2.1628","3728","2875","thing","Nature","1","4","45","45","30","2025","1,2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Near and Far","195421","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 players
90-120 Min
S-1-4","","","","137223610","7.22393","7.63592","2.9039","281","23167","thing","Near and Far","2","4","120","120","90","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Nemesis","167355","0","0","0","1","0","0","0","0","0","0","0","3","","1-5 Players
90-180 Min
B-A-3","","","","135501675","7.94813","8.2461","3.4905","25","51252","thing","Nemesis","1","5","180","180","90","2018","1,2,3,4,5","4,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Neuroshima Hex: Battle","437382","0","0","0","1","0","0","0","0","0","0","0","3","","2 players
20 - 30 minutes
C-A-3","","","","147988197","5.54181","8.03229","2","0","206","thing","Neuroshima Hex: Battle","2","2","30","30","30","2025","2","2","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Night Cage","306709","8.5","1","0","1","0","0","0","0","0","0","0","3","","1 - 5 player
40-60 min 
S-3-3

*you must play pitch black with candle light and if your candle goes out in the game same for your candle in real life also have thematic music playing. Enjoy!","","","","136565320","6.36632","7.08432","2.1538","1683","9120","thing","The Night Cage","1","5","60","60","40","2021","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Night Cage: Shrieking Hollow","400357","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion 
S-3-3","","","","137224340","5.60861","7.95984","2.5","0","1498","thing","The Night Cage: Shrieking Hollow","1","5","60","60","40","2024","1,2,3,4,5","4","16+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Nightshift","383172","8","1","0","1","0","0","0","0","0","0","0","1","","1-5 Players
40-90 min 
S-2-1

Very much on theme","","","","139294821","5.78874","7.6829","1.6786","4963","1250","thing","Nightshift","1","5","90","90","40","2025","1,2,3,4,5","4","16+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Nine Tiles Panic","279869","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140259261","6.15538","6.8907","1.2857","2418","4273","thing","Nine Tiles Panic","2","5","20","20","20","2019","2,3,4,5","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Nocturne","393175","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
30 - 45 min
S-3-4","","","","139486817","5.90918","6.88928","2.2121","3819","3565","thing","Nocturne","1","4","45","45","30","2024","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Not It!: The Camping Chaos Edition","377280","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 6 players
5 - 15
C-B-5","","","","135497282","0","5.91667","0","0","70","thing","Not It!: The Camping Chaos Edition","3","6","15","15","5","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Not It!: The Cryptid Hunters Edition","301698","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 6 Players
10 - 25 minutes
C-B-5","","","","147069326","0","4.83333","0","0","70","thing","Not It!: The Cryptid Hunters Edition","3","6","25","25","10","2020","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Notebook Nations","447130","9.2","1","0","1","0","0","0","0","0","0","0","3","","1-4 players
50-150min 
S-3-5","","","","146488719","5.53575","7.4807","2.4","15558","279","thing","Notebook Nations","1","4","150","150","50","2026","2,3,4","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Nothing Personal","120523","0","0","0","1","0","0","0","0","0","0","0","3","","3-5 players
120 minutes
C-C-5","","","","147552227","6.27352","7.01685","2.7818","1977","3469","thing","Nothing Personal","3","5","120","120","120","2013","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Oasis: New Life on A Distant World","463628","0","0","0","1","0","0","0","0","0","0","0","3","","1-5 Players
60 Minutes","","","","147962572","0","8.20833","2","0","55","thing","Oasis: New Life on A Distant World","1","5","60","60","45","2026","1","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Oath","291572","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 6 players
45-150 minutes
S-5-2","","","","135500613","7.16582","7.70786","4.1241","335","21131","thing","Oath","1","6","150","150","45","2021","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Oathsworn: Into the Deepwood","251661","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","139293664","7.72459","8.75409","3.6955","63","13107","thing","Oathsworn: Into the Deepwood","1","4","90","90","30","2022","1,2,3,4","2,4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Oceans","232414","0","0","0","1","0","0","0","0","0","0","0","3","","2. - 4 players 
60 minutes
S-1-3

Hand management 
Has application","","","","138693151","6.88458","7.38321","2.8468","642","14139","thing","Oceans","2","4","90","90","60","2020","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Oddland","428636","0","0","0","1","0","0","0","0","0","0","0","3","","1-5 Players
30 Min
C-B-3","","","","136061048","5.76936","6.94561","1.6154","5196","1833","thing","Oddland","1","5","40","40","40","2025","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Oddland: The Big and the Bold","431706","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136061053","5.53955","7.16552","2","0","812","thing","Oddland: The Big and the Bold","1","5","40","40","40","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Of Popes & Plagues","420757","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 players
20-60 min 
S-2-3","","","","142292073","5.53003","7.00392","1.3333","16775","161","thing","Of Popes & Plagues","2","6","60","60","20","2025","3,4,5,6","6","10","","","","","","","standalone","","","","","","","","","","","","","","",""
"Oh My Pigeons!","413435","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
3 - 15 minutes","","","","139483814","5.58344","6.04715","1","10446","2080","thing","Oh My Pigeons!","2","5","15","15","3","2024","3,4,5","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Old King's Crown","357873","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 players 
60-120 minutes
S-5-4","","","","148035331","6.94271","8.05668","3.693","570","7544","thing","The Old King's Crown","1","4","120","120","60","2025","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"One Last Fight","463580","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 Players
60-120 MIn 
C-A-1","","","","147297861","5.51111","7.20968","2.5","22609","87","thing","One Last Fight","1","4","120","120","60","2026","3,4","1,2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 10 players
10 min
C-B-5","","","","139486041","6.85322","7.03171","1.3834","683","60014","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Werewolf","142503","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 10 players","","","","135496741","5.61334","6.10041","1.2222","8825","1295","thing","One Night Werewolf","3","7","10","10","10","2012","4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Operation Barclay","404923","0","0","0","1","0","0","0","0","0","0","0","3","","2 Players
30 minutes
C-B-4","","","","140311991","5.62646","7.00661","2","8306","853","thing","Operation Barclay","2","2","40","40","25","2024","2","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Orbis","255507","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 Players
45 min 
S-3-1","","","","148058461","6.06459","6.57655","2.0333","2862","5318","thing","Orbis","2","4","45","45","45","2018","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Oregon Trail Card Game","205322","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players
30 - 45 minutes
C-B-5","","","","135496608","4.6341","4.21032","1.1852","31036","11790","thing","The Oregon Trail Card Game","2","6","45","45","30","2016","3,4,5,6","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Oregon Trail Game: Journey to Willamette Valley","256792","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30-60 min 
S-3-2","","","","135498967","5.52879","5.77188","2.25","17064","1821","thing","The Oregon Trail Game: Journey to Willamette Valley","2","4","60","60","30","2018","2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Others","172047","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players","","","","135500503","6.56316","7.28331","3.0565","1183","8938","thing","The Others","2","5","90","90","90","2016","2,3,4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"OUTFOX the FOX","431480","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 10 players
20 - 60 minutes
C-A-5","","","","139483950","5.5882","7.34667","1","10109","294","thing","OUTFOX the FOX","3","10","60","60","20","2025","3,4,5,6,7,8,9,10","5,6,7,8,9,10","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Outlive","191051","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147551565","6.63267","7.25667","3.0345","1043","8359","thing","Outlive","2","4","110","110","40","2017","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","La Boîte de Jeu","English","2017","English collector's edition"
"Overboss: A Boss Monster Adventure","310192","0","0","0","1","0","0","0","0","0","0","0","3","","1-5 players
20-30 min 
S-3-3","","","","146488344","6.34675","7.26036","2.0364","1727","6365","thing","Overboss: A Boss Monster Adventure","1","5","30","30","20","2021","1,2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pac-Man: The Board Game","285992","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137223546","5.56339","5.99174","1.2","11970","1721","thing","Pac-Man: The Board Game","2","5","90","90","20","2019","2,3,5","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
